,date,calories,total_fat_g,protein_g,saturated_fat_g,cholesterol_mg,sodium_mg,carbohydrate_g,fiber_g,sugar_g,vitamin_d_iu,calcium_mg,potassium_mg,iron_mg
37,2011-07-01,77515.0,534301724.98899996,432474815.447,135165648.4,-108921769.0,11753691414.56,5196123062.604,332659438.356,2324297176.599,-51646615.3,3012646413.83,16274309233.91,201286693.56800002
38,2011-10-01,96724.0,1505382599.003,1146550569.987,381922936.97999996,-1520196841.0,27388322825.82,16539003523.116,866679368.6539999,7569400466.959,-316185506.9,6912634430.59,40651917674.12,569153742.504
39,2012-01-01,96321.0,1406774594.38,1016474899.348,346112970.41,183838850.0,32168417536.940002,10659267399.118,676470050.152,3570776995.465,13818335.7,6483401889.85,32785580570.059998,482096308.215
40,2012-04-01,109185.0,14430524024.732,25972003133.98,2469918812.8199997,-90695232.0,69299099672.4,146344850201.496,19793222596.504,9987987370.528,-35840070.30000001,106908519637.64,727245178231.24,8842134419.132
41,2012-07-01,72384.0,446723558.25699997,257142277.12600002,118031547.6,303170737.0,10659138753.18,3195978844.267,141251158.071,1570273812.029,55330759.2,2408385978.31,8353192321.77,130584200.598
42,2012-10-01,101101.0,13080322500.581001,23806513476.565002,2160475136.5,1327587427.0,49333563412.08,129373262460.11801,18055404951.774002,6845321748.837,250950587.5,97796363290.69002,658853961533.1101,7969824843.622
43,2013-01-01,100086.0,18894163620.768997,36396723627.090004,3074153706.0499997,1838754574.0,52863907883.94,193868675121.872,27709255167.374996,7660282105.075,257288912.2,147317456836.72998,1006947949643.0599,12075749473.272999
44,2013-04-01,107657.0,2741299999.506,2174070871.659,716561756.06,2268732668.0,69236595051.24,23206479310.267,1458195884.109,8449216130.912,429523281.8,14008134824.22,71805186355.57,1073390445.156
45,2013-07-01,82767.0,492801454.638,495656190.053,117239237.58,367622512.0,10676270677.16,5110373882.672,368472256.987,1552373670.155,41767036.5,2597780690.33,16432851051.27,242038745.806
46,2013-10-01,101859.0,13020998313.575,24905284537.021,2130334693.09,1614000665.0,48482652629.1,134333322614.471,18956880836.924004,6055165254.509,391780216.1,101255102205.21,690021980296.61,8333161428.467
